-0.012218,0.035173,0.379892
-0.038872,0.008711,0.378388
-0.036427,0.006830,0.378559
-0.033973,0.003543,0.378858
-0.031532,0.001549,0.379040
-0.029096,-0.000091,0.379189
-0.026665,-0.001145,0.379285
-0.024237,-0.001847,0.379349
-0.021811,-0.002315,0.379391
-0.019386,-0.002666,0.379423
-0.016964,-0.002432,0.379402
-0.014541,-0.002081,0.379370
-0.012120,-0.001379,0.379306
-0.009698,-0.000442,0.379221
-0.007276,0.000963,0.379093
-0.004853,0.002839,0.378922
-0.002428,0.005656,0.378666
-0.041333,0.011448,0.374247
-0.038880,0.008977,0.374474
-0.036455,0.009565,0.374420
-0.034030,0.010271,0.374355
-0.031584,0.008153,0.374549
-0.029139,0.005803,0.374765
-0.026700,0.004042,0.374927
-0.024267,0.002986,0.375024
-0.021837,0.002282,0.375089
-0.019409,0.001813,0.375132
-0.016984,0.002165,0.375099
-0.014560,0.002751,0.375046
-0.012135,0.003690,0.374959
-0.009711,0.005098,0.374830
-0.007287,0.007213,0.374636
-0.004862,0.010742,0.374312
-0.041336,0.011126,0.370383
-0.038886,0.009007,0.370579
-0.036461,0.009713,0.370514
-0.034034,0.010184,0.370470
-0.031583,0.007361,0.370732
-0.029139,0.005128,0.370939
-0.026702,0.003602,0.371081
-0.024268,0.002429,0.371189
-0.021838,0.001843,0.371244
-0.019411,0.001725,0.371255
-0.016985,0.001843,0.371244
-0.014560,0.002312,0.371200
-0.012136,0.003133,0.371124
-0.009712,0.004541,0.370994
-0.007287,0.006421,0.370819
-0.004861,0.009360,0.370547
-0.038874,0.006921,0.366882
-0.036415,0.003397,0.367212
-0.033969,0.001051,0.367431
-0.031531,-0.000707,0.367596
-0.029097,-0.001995,0.367717
-0.026666,-0.003048,0.367815
-0.024238,-0.003750,0.367881
-0.021812,-0.004218,0.367925
-0.019388,-0.004335,0.367936
-0.016965,-0.004218,0.367925
-0.014542,-0.003867,0.367892
-0.012120,-0.003282,0.367837
-0.009698,-0.002463,0.367760
-0.007276,-0.001175,0.367640
-0.004852,0.000465,0.367486
-0.002427,0.002576,0.367289
0.000000,0.005628,0.367003
0.002431,0.010332,0.366563
-0.038878,0.006716,0.363009
-0.036418,0.003075,0.363353
-0.033971,0.000611,0.363586
-0.031532,-0.001146,0.363752
-0.029097,-0.002552,0.363885
-0.026666,-0.003605,0.363984
-0.024238,-0.004307,0.364051
-0.021812,-0.004775,0.364095
-0.019387,-0.005126,0.364128
-0.016965,-0.004775,0.364095
-0.014542,-0.004658,0.364084
-0.012120,-0.003839,0.364007
-0.009698,-0.003020,0.363929
-0.007276,-0.001732,0.363807
-0.004852,-0.000092,0.363652
-0.002427,0.002019,0.363453
0.000000,0.005071,0.363165
0.002431,0.009657,0.362731
-0.038886,0.006981,0.359091
-0.036426,0.003339,0.359438
-0.033978,0.000758,0.359684
-0.031537,-0.001117,0.359863
-0.029102,-0.002523,0.359997
-0.026671,-0.003576,0.360098
-0.024242,-0.004278,0.360165
-0.021816,-0.004746,0.360209
-0.019391,-0.004863,0.360220
-0.016967,-0.004863,0.360220
-0.014545,-0.004395,0.360176
-0.012122,-0.003810,0.360120
-0.009700,-0.002874,0.360031
-0.007277,-0.001586,0.359908
-0.004853,0.000054,0.359751
-0.002428,0.002165,0.359550
0.000000,0.005218,0.359259
0.002432,0.010041,0.358799
-0.038894,0.007247,0.355171
-0.036432,0.003486,0.355533
-0.033984,0.000904,0.355781
-0.031542,-0.001088,0.355973
-0.029107,-0.002494,0.356108
-0.026675,-0.003431,0.356198
-0.024246,-0.004250,0.356277
-0.021819,-0.004718,0.356322
-0.019394,-0.004835,0.356334
-0.016970,-0.004835,0.356334
-0.014547,-0.004484,0.356300
-0.012124,-0.003782,0.356232
-0.009701,-0.002845,0.356142
-0.007278,-0.001674,0.356029
-0.004854,0.000084,0.355860
-0.002428,0.002312,0.355646
0.000000,0.005366,0.355352
0.002433,0.010307,0.354876
-0.036460,0.006101,0.351386
-0.034001,0.002459,0.351740
-0.031556,0.000113,0.351968
-0.029118,-0.001411,0.352116
-0.026685,-0.002583,0.352229
-0.024254,-0.003519,0.352320
-0.021825,-0.004105,0.352377
-0.019400,-0.004222,0.352389
-0.016975,-0.004222,0.352389
-0.014551,-0.003753,0.352343
-0.012128,-0.002934,0.352264
-0.009705,-0.001880,0.352161
-0.007281,-0.000591,0.352036
-0.004856,0.001168,0.351865
-0.043802,0.010605,0.347049
-0.041324,0.005779,0.347522
-0.038864,0.002489,0.347844
-0.036415,0.000025,0.348085
-0.033973,-0.001851,0.348269
-0.031536,-0.003374,0.348418
-0.029102,-0.004544,0.348533
-0.026672,-0.005363,0.348613
-0.024244,-0.005948,0.348671
