-0.0488411 0.00304466   0.348508   0.838924 0.00449882   -0.54423 0.00329826   0.119809 0.00607461
-0.0488411 0.00304466   0.348508   0.231275    0.96125  -0.150034   -0.15141   0.033029 -0.0217844
-0.0488411 0.00304466   0.348508    0.861641    0.482874    0.156227  -0.0777668     0.14053 -0.00544765
-0.0488411 0.00304466   0.348508   0.208558   0.482874  -0.850492 -0.0703453  0.0123079 -0.0102622
0.0356253 0.0054781  0.292166  -0.875545  -0.386475  -0.289928  0.0409767 -0.0721831 -0.0275241
0.0356253 0.0054781  0.292166   -0.59736   0.777195   -0.19781 -0.0785473 -0.0492486   0.043705
0.0356253 0.0054781  0.292166   -0.547841     0.19536   -0.813453  -0.0159723 -0.00722454  0.00902193
0.0356253 0.0054781  0.292166  -0.925065    0.19536   0.325715 -0.0215982  -0.114207 0.00715898
-0.0510775  0.0097256    0.29953   0.966747  -0.193139  -0.167624  0.0213006   0.101568 0.00581964
-0.0510775  0.0097256    0.29953   0.453377   0.887846  -0.078611 -0.0973301  0.0476325  -0.023368
-0.0510775  0.0097256    0.29953    0.812566    0.347353    0.468062  -0.0384233    0.101612 -0.00870332
-0.0510775  0.0097256    0.29953   0.607557   0.347353  -0.714297 -0.0376062  0.0475884  -0.008845
